"METRO_ID","Metropolitan areas","VAR","Variables","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA116","Allen","T_T","Population, All ages. Administrative data","2000","2000","PER","Persons","0","Units",,,363420,,
"USA116","Allen","T_T","Population, All ages. Administrative data","2001","2001","PER","Persons","0","Units",,,365954,,
"USA116","Allen","T_T","Population, All ages. Administrative data","2002","2002","PER","Persons","0","Units",,,368402,,
"USA116","Allen","T_T","Population, All ages. Administrative data","2003","2003","PER","Persons","0","Units",,,371190,,
"USA116","Allen","T_T","Population, All ages. Administrative data","2004","2004","PER","Persons","0","Units",,,372757,,
"USA116","Allen","T_T","Population, All ages. Administrative data","2005","2005","PER","Persons","0","Units",,,375420,,
"USA116","Allen","T_T","Population, All ages. Administrative data","2006","2006","PER","Persons","0","Units",,,378911,,
"USA116","Allen","T_T","Population, All ages. Administrative data","2007","2007","PER","Persons","0","Units",,,382387,,
"USA116","Allen","T_T","Population, All ages. Administrative data","2008","2008","PER","Persons","0","Units",,,384311,,
"USA116","Allen","T_T","Population, All ages. Administrative data","2009","2009","PER","Persons","0","Units",,,386818,,
"USA116","Allen","T_T","Population, All ages. Administrative data","2010","2010","PER","Persons","0","Units",,,389247,,
"USA116","Allen","T_T","Population, All ages. Administrative data","2011","2011","PER","Persons","0","Units",,,392141,,
"USA116","Allen","T_T","Population, All ages. Administrative data","2012","2012","PER","Persons","0","Units",,,393973,,
"USA116","Allen","T_T","Population, All ages. Administrative data","2013","2013","PER","Persons","0","Units",,,396450,,
"USA116","Allen","T_T","Population, All ages. Administrative data","2014","2014","PER","Persons","0","Units",,,398523,,
"USA116","Allen","T_T","Population, All ages. Administrative data","2015","2015","PER","Persons","0","Units",,,401074,,
"USA116","Allen","T_T","Population, All ages. Administrative data","2016","2016","PER","Persons","0","Units",,,403456,,
"FR215","Rouen","T_T","Population, All ages. Administrative data","2000","2000","PER","Persons","0","Units",,,660717,,
"FR215","Rouen","T_T","Population, All ages. Administrative data","2001","2001","PER","Persons","0","Units",,,662818,,
"FR215","Rouen","T_T","Population, All ages. Administrative data","2002","2002","PER","Persons","0","Units",,,664922,,
"FR215","Rouen","T_T","Population, All ages. Administrative data","2003","2003","PER","Persons","0","Units",,,667024,,
"FR215","Rouen","T_T","Population, All ages. Administrative data","2004","2004","PER","Persons","0","Units",,,669128,,
"FR215","Rouen","T_T","Population, All ages. Administrative data","2005","2005","PER","Persons","0","Units",,,671229,,
"FR215","Rouen","T_T","Population, All ages. Administrative data","2006","2006","PER","Persons","0","Units",,,673333,,
"FR215","Rouen","T_T","Population, All ages. Administrative data","2007","2007","PER","Persons","0","Units",,,675435,,
"FR215","Rouen","T_T","Population, All ages. Administrative data","2008","2008","PER","Persons","0","Units",,,677538,,
"FR215","Rouen","T_T","Population, All ages. Administrative data","2009","2009","PER","Persons","0","Units",,,679640,,
"FR215","Rouen","T_T","Population, All ages. Administrative data","2010","2010","PER","Persons","0","Units",,,682137,,
"FR215","Rouen","T_T","Population, All ages. Administrative data","2011","2011","PER","Persons","0","Units",,,684634,,
"FR215","Rouen","T_T","Population, All ages. Administrative data","2012","2012","PER","Persons","0","Units",,,687129,,
"FR215","Rouen","T_T","Population, All ages. Administrative data","2013","2013","PER","Persons","0","Units",,,689626,,
"FR215","Rouen","T_T","Population, All ages. Administrative data","2014","2014","PER","Persons","0","Units",,,692123,,
"FR215","Rouen","T_T","Population, All ages. Administrative data","2015","2015","PER","Persons","0","Units",,,693774,,
"PL001","Warsaw","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2002","2002","RATIO","Ratio","0","Units",,,7.6,,
"PL001","Warsaw","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2003","2003","RATIO","Ratio","0","Units",,,7.6,,
"PL001","Warsaw","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2004","2004","RATIO","Ratio","0","Units",,,7.6,,
"PL001","Warsaw","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2005","2005","RATIO","Ratio","0","Units",,,7.7,,
"PL001","Warsaw","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2006","2006","RATIO","Ratio","0","Units",,,7.7,,
"PL001","Warsaw","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2007","2007","RATIO","Ratio","0","Units",,,7.8,,
"PL001","Warsaw","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2008","2008","RATIO","Ratio","0","Units",,,7.8,,
"PL001","Warsaw","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2009","2009","RATIO","Ratio","0","Units",,,7.9,,
"PL001","Warsaw","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2010","2010","RATIO","Ratio","0","Units",,,7.9,,
"PL001","Warsaw","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2011","2011","RATIO","Ratio","0","Units",,,8,,
"PL001","Warsaw","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2012","2012","RATIO","Ratio","0","Units",,,8,,
"PL001","Warsaw","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2013","2013","RATIO","Ratio","0","Units",,,8.1,,
"PL001","Warsaw","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2014","2014","RATIO","Ratio","0","Units",,,8.1,,
"PL001","Warsaw","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2015","2015","RATIO","Ratio","0","Units",,,8.2,,
"PL001","Warsaw","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2016","2016","RATIO","Ratio","0","Units",,,8.3,,
"JPN19","Kagoshima","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2001","2001","RATIO","Ratio","0","Units",,,0.6,,
"JPN19","Kagoshima","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2002","2002","RATIO","Ratio","0","Units",,,0.6,,
"JPN19","Kagoshima","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2003","2003","RATIO","Ratio","0","Units",,,0.6,,
"JPN19","Kagoshima","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2004","2004","RATIO","Ratio","0","Units",,,0.6,,
"JPN19","Kagoshima","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2005","2005","RATIO","Ratio","0","Units",,,0.6,,
"JPN19","Kagoshima","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2006","2006","RATIO","Ratio","0","Units",,,0.6,,
"JPN19","Kagoshima","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2007","2007","RATIO","Ratio","0","Units",,,0.6,,
"JPN19","Kagoshima","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2008","2008","RATIO","Ratio","0","Units",,,0.6,,
"JPN19","Kagoshima","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2009","2009","RATIO","Ratio","0","Units",,,0.6,,
"JPN19","Kagoshima","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2010","2010","RATIO","Ratio","0","Units",,,0.6,,
"JPN19","Kagoshima","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2011","2011","RATIO","Ratio","0","Units",,,0.6,,
"JPN19","Kagoshima","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2012","2012","RATIO","Ratio","0","Units",,,0.6,,
"JPN19","Kagoshima","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2013","2013","RATIO","Ratio","0","Units",,,0.6,,
"JPN19","Kagoshima","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2014","2014","RATIO","Ratio","0","Units",,,0.6,,
"JPN19","Kagoshima","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2015","2015","RATIO","Ratio","0","Units",,,0.6,,
"MEX13","Mexicali","POP_DEN","Population density (pop. per km2)","2000","2000","PER","Persons","0","Units",,,53,,
"MEX13","Mexicali","POP_DEN","Population density (pop. per km2)","2005","2005","PER","Persons","0","Units",,,51,,
"MEX13","Mexicali","POP_DEN","Population density (pop. per km2)","2010","2010","PER","Persons","0","Units",,,58,,
"MEX13","Mexicali","POP_DEN","Population density (pop. per km2)","2015","2015","PER","Persons","0","Units",,,66,,
"UK014","Leicester","POP_DEN","Population density (pop. per km2)","2001","2001","PER","Persons","0","Units",,,544,,
"UK014","Leicester","POP_DEN","Population density (pop. per km2)","2002","2002","PER","Persons","0","Units",,,548,,
"UK014","Leicester","POP_DEN","Population density (pop. per km2)","2003","2003","PER","Persons","0","Units",,,552,,
"UK014","Leicester","POP_DEN","Population density (pop. per km2)","2004","2004","PER","Persons","0","Units",,,558,,
"UK014","Leicester","POP_DEN","Population density (pop. per km2)","2005","2005","PER","Persons","0","Units",,,565,,
"UK014","Leicester","POP_DEN","Population density (pop. per km2)","2006","2006","PER","Persons","0","Units",,,571,,
"UK014","Leicester","POP_DEN","Population density (pop. per km2)","2007","2007","PER","Persons","0","Units",,,577,,
"UK014","Leicester","POP_DEN","Population density (pop. per km2)","2008","2008","PER","Persons","0","Units",,,583,,
"UK014","Leicester","POP_DEN","Population density (pop. per km2)","2009","2009","PER","Persons","0","Units",,,588,,
"UK014","Leicester","POP_DEN","Population density (pop. per km2)","2010","2010","PER","Persons","0","Units",,,594,,
"UK014","Leicester","POP_DEN","Population density (pop. per km2)","2011","2011","PER","Persons","0","Units",,,600,,
"UK014","Leicester","POP_DEN","Population density (pop. per km2)","2012","2012","PER","Persons","0","Units",,,605,,
"UK014","Leicester","POP_DEN","Population density (pop. per km2)","2013","2013","PER","Persons","0","Units",,,609,,
"UK014","Leicester","POP_DEN","Population density (pop. per km2)","2014","2014","PER","Persons","0","Units",,,615,,
"UK014","Leicester","POP_DEN","Population density (pop. per km2)","2015","2015","PER","Persons","0","Units",,,623,,
"UK014","Leicester","POP_DEN","Population density (pop. per km2)","2016","2016","PER","Persons","0","Units",,,631,,
"USA04","Washington (Greater)","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2001","2001","RATIO","Ratio","0","Units",,,2.7,,
"USA04","Washington (Greater)","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2002","2002","RATIO","Ratio","0","Units",,,2.7,,
"USA04","Washington (Greater)","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2003","2003","RATIO","Ratio","0","Units",,,2.7,,
"USA04","Washington (Greater)","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2004","2004","RATIO","Ratio","0","Units",,,2.7,,
"USA04","Washington (Greater)","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2005","2005","RATIO","Ratio","0","Units",,,2.7,,
"USA04","Washington (Greater)","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2006","2006","RATIO","Ratio","0","Units",,,2.7,,
"USA04","Washington (Greater)","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2007","2007","RATIO","Ratio","0","Units",,,2.7,,
"USA04","Washington (Greater)","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2008","2008","RATIO","Ratio","0","Units",,,2.7,,
"USA04","Washington (Greater)","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2009","2009","RATIO","Ratio","0","Units",,,2.7,,
"USA04","Washington (Greater)","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2010","2010","RATIO","Ratio","0","Units",,,2.7,,
"USA04","Washington (Greater)","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2011","2011","RATIO","Ratio","0","Units",,,2.8,,
"USA04","Washington (Greater)","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2012","2012","RATIO","Ratio","0","Units",,,2.8,,
"USA04","Washington (Greater)","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2013","2013","RATIO","Ratio","0","Units",,,2.8,,
"USA04","Washington (Greater)","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2014","2014","RATIO","Ratio","0","Units",,,2.8,,
"USA04","Washington (Greater)","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2015","2015","RATIO","Ratio","0","Units",,,2.8,,
"USA04","Washington (Greater)","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2016","2016","RATIO","Ratio","0","Units",,,2.8,,
"USA26","Cuyahoga","POP_DEN","Population density (pop. per km2)","2000","2000","PER","Persons","0","Units",,,411,,
"USA26","Cuyahoga","POP_DEN","Population density (pop. per km2)","2001","2001","PER","Persons","0","Units",,,410,,
"USA26","Cuyahoga","POP_DEN","Population density (pop. per km2)","2002","2002","PER","Persons","0","Units",,,408,,
"USA26","Cuyahoga","POP_DEN","Population density (pop. per km2)","2003","2003","PER","Persons","0","Units",,,407,,
"USA26","Cuyahoga","POP_DEN","Population density (pop. per km2)","2004","2004","PER","Persons","0","Units",,,406,,
"USA26","Cuyahoga","POP_DEN","Population density (pop. per km2)","2005","2005","PER","Persons","0","Units",,,404,,
"USA26","Cuyahoga","POP_DEN","Population density (pop. per km2)","2006","2006","PER","Persons","0","Units",,,401,,
"USA26","Cuyahoga","POP_DEN","Population density (pop. per km2)","2007","2007","PER","Persons","0","Units",,,400,,
"USA26","Cuyahoga","POP_DEN","Population density (pop. per km2)","2008","2008","PER","Persons","0","Units",,,399,,
"USA26","Cuyahoga","POP_DEN","Population density (pop. per km2)","2009","2009","PER","Persons","0","Units",,,398,,
"USA26","Cuyahoga","POP_DEN","Population density (pop. per km2)","2010","2010","PER","Persons","0","Units",,,397,,
"USA26","Cuyahoga","POP_DEN","Population density (pop. per km2)","2011","2011","PER","Persons","0","Units",,,396,,
