Year,Team,City,GP,W,L,OTL,PTS,WPCT
2018,Nashville Predators,Nashville,82,53,18,11,117,0.713414634
2019,Tampa Bay Lightning,Tampa,82,62,16,4,128,0.780487805
2019,Anaheim Ducks,Los Angeles,82,35,37,10,80,0.487804878
2018,Anaheim Ducks,Los Angeles,82,44,25,13,101,0.615853659
2017,Anaheim Ducks,Los Angeles,82,46,23,13,105,0.640243902
2016,Anaheim Ducks,Los Angeles,82,46,25,11,103,0.62804878
2015,Anaheim Ducks,Los Angeles,82,51,24,7,109,0.664634146
2014,Anaheim Ducks,Los Angeles,82,54,20,8,116,0.707317073
2013,Anaheim Ducks,Los Angeles,48,30,12,6,66,0.6875
2012,Anaheim Ducks,Los Angeles,82,34,36,12,80,0.487804878
2011,Anaheim Ducks,Los Angeles,82,47,30,5,99,0.603658537
2010,Anaheim Ducks,Los Angeles,82,39,32,11,89,0.542682927
2009,Anaheim Ducks,Los Angeles,82,42,33,7,91,0.554878049
2008,Anaheim Ducks,Los Angeles,82,47,27,8,102,0.62195122
2007,Anaheim Ducks,Los Angeles,82,48,20,14,110,0.670731707
2006,Anaheim Ducks,Los Angeles,82,43,27,12,98,0.597560976
2004,Anaheim Ducks,Los Angeles,82,29,35,10,68,0.414634146
2003,Anaheim Ducks,Los Angeles,82,40,27,9,89,0.542682927
2002,Anaheim Ducks,Los Angeles,82,29,42,8,66,0.402439024
2001,Anaheim Ducks,Los Angeles,82,25,41,11,61,0.37195122
2000,Anaheim Ducks,Los Angeles,82,34,33,12,80,0.487804878
2019,Arizona Coyotes,Phoenix,82,39,35,8,86,0.524390244
2018,Arizona Coyotes,Phoenix,82,29,41,12,70,0.426829268
2017,Arizona Coyotes,Phoenix,82,30,42,10,70,0.426829268
2016,Arizona Coyotes,Phoenix,82,35,39,8,78,0.475609756
2015,Arizona Coyotes,Phoenix,82,24,50,8,56,0.341463415
2011,Atlanta Thrashers,Atlanta,82,34,36,12,80,0.487804878
2010,Atlanta Thrashers,Atlanta,82,35,34,13,83,0.506097561
2009,Atlanta Thrashers,Atlanta,82,35,41,6,76,0.463414634
2008,Atlanta Thrashers,Atlanta,82,34,40,8,76,0.463414634
2007,Atlanta Thrashers,Atlanta,82,43,28,11,97,0.591463415
2006,Atlanta Thrashers,Atlanta,82,41,33,8,90,0.548780488
2004,Atlanta Thrashers,Atlanta,82,33,37,8,74,0.451219512
2003,Atlanta Thrashers,Atlanta,82,31,39,7,69,0.420731707
2002,Atlanta Thrashers,Atlanta,82,19,47,11,49,0.298780488
2001,Atlanta Thrashers,Atlanta,82,23,45,12,58,0.353658537
2000,Atlanta Thrashers,Atlanta,82,14,57,7,35,0.213414634
2019,Boston Bruins,Boston,82,49,24,9,107,0.652439024
2018,Boston Bruins,Boston,82,50,20,12,112,0.682926829
2017,Boston Bruins,Boston,82,44,31,7,95,0.579268293
2016,Boston Bruins,Boston,82,42,31,9,93,0.567073171
2015,Boston Bruins,Boston,82,41,27,14,96,0.585365854
2014,Boston Bruins,Boston,82,54,19,9,117,0.713414634
2013,Boston Bruins,Boston,48,28,14,6,62,0.645833333
2012,Boston Bruins,Boston,82,49,29,4,102,0.62195122
2011,Boston Bruins,Boston,82,46,25,11,103,0.62804878
2010,Boston Bruins,Boston,82,39,30,13,91,0.554878049
2009,Boston Bruins,Boston,82,53,19,10,116,0.707317073
2008,Boston Bruins,Boston,82,41,29,12,94,0.573170732
2007,Boston Bruins,Boston,82,35,41,6,76,0.463414634
2006,Boston Bruins,Boston,82,29,37,16,74,0.451219512
2004,Boston Bruins,Boston,82,41,19,15,97,0.591463415
2003,Boston Bruins,Boston,82,36,31,11,83,0.506097561
2002,Boston Bruins,Boston,82,43,24,6,92,0.56097561
2001,Boston Bruins,Boston,82,36,30,8,80,0.487804878
2000,Boston Bruins,Boston,82,24,33,19,67,0.408536585
2019,Buffalo Sabres,Buffalo,82,33,39,10,76,0.463414634
2018,Buffalo Sabres,Buffalo,82,25,45,12,62,0.37804878
2017,Buffalo Sabres,Buffalo,82,33,37,12,78,0.475609756
2016,Buffalo Sabres,Buffalo,82,35,36,11,81,0.493902439
2015,Buffalo Sabres,Buffalo,82,23,51,8,54,0.329268293
2014,Buffalo Sabres,Buffalo,82,21,51,10,52,0.317073171
2013,Buffalo Sabres,Buffalo,48,21,21,6,48,0.5
2012,Buffalo Sabres,Buffalo,82,39,32,11,89,0.542682927
2011,Buffalo Sabres,Buffalo,82,43,29,10,96,0.585365854
2010,Buffalo Sabres,Buffalo,82,45,27,10,100,0.609756098
2009,Buffalo Sabres,Buffalo,82,41,32,9,91,0.554878049
2008,Buffalo Sabres,Buffalo,82,39,31,12,90,0.548780488
2007,Buffalo Sabres,Buffalo,82,53,22,7,113,0.68902439
2006,Buffalo Sabres,Buffalo,82,52,24,6,110,0.670731707
2004,Buffalo Sabres,Buffalo,82,37,34,7,81,0.493902439
2003,Buffalo Sabres,Buffalo,82,27,37,10,64,0.390243902
2002,Buffalo Sabres,Buffalo,82,35,35,11,81,0.493902439
2001,Buffalo Sabres,Buffalo,82,46,30,5,97,0.591463415
2000,Buffalo Sabres,Buffalo,82,35,32,11,81,0.493902439
2019,Calgary Flames,Calgary,82,50,25,7,107,0.652439024
2018,Calgary Flames,Calgary,82,37,35,10,84,0.512195122
2017,Calgary Flames,Calgary,82,45,33,4,94,0.573170732
2016,Calgary Flames,Calgary,82,35,40,7,77,0.469512195
2015,Calgary Flames,Calgary,82,45,30,7,97,0.591463415
2014,Calgary Flames,Calgary,82,35,40,7,77,0.469512195
2013,Calgary Flames,Calgary,48,19,25,4,42,0.4375
2012,Calgary Flames,Calgary,82,37,29,16,90,0.548780488
2011,Calgary Flames,Calgary,82,41,29,12,94,0.573170732
2010,Calgary Flames,Calgary,82,40,32,10,90,0.548780488
